customer_id,customer_name,city,segment,join_date,customer_key
1,Customer_1,BANGALORE,Online,2021-10-16,1
2,Customer_2,CHENNAI,Retail,2020-04-24,2
3,Customer_3,PUNE,Wholesale,2020-01-26,3
4,Customer_4,CHENNAI,Retail,2022-01-29,4
5,Customer_5,CHENNAI,Online,2020-10-08,5
6,Customer_6,DELHI,Online,2020-09-07,6
7,Customer_7,PUNE,Wholesale,2020-08-16,7
8,Customer_8,PUNE,Retail,2020-05-22,8
9,Customer_9,PUNE,Online,2022-01-24,9
10,Customer_10,CHENNAI,Wholesale,2020-04-14,10
11,Customer_11,BANGALORE,Online,2021-11-23,11
12,Customer_12,PUNE,Online,2022-01-28,12
13,Customer_13,CHENNAI,Retail,2022-07-02,13
14,Customer_14,DELHI,Online,2021-07-12,14
15,Customer_15,BANGALORE,Retail,2020-03-30,15
16,Customer_16,DELHI,Online,2021-08-27,16
17,Customer_17,BANGALORE,Wholesale,2021-03-08,17
18,Customer_18,CHENNAI,Online,2020-02-02,18
19,Customer_19,MUMBAI,Retail,2020-01-31,19
20,Customer_20,BANGALORE,Retail,2020-04-05,20
21,Customer_21,DELHI,Wholesale,2020-08-11,21
22,Customer_22,CHENNAI,Online,2020-08-26,22
23,Customer_23,BANGALORE,Online,2021-06-01,23
24,Customer_24,MUMBAI,Wholesale,2021-09-08,24
25,Customer_25,MUMBAI,Online,2020-01-28,25
26,Customer_26,PUNE,Online,2021-07-28,26
27,Customer_27,PUNE,Retail,2020-07-22,27
28,Customer_28,DELHI,Online,2022-01-03,28
29,Customer_29,BANGALORE,Online,2021-10-27,29
30,Customer_30,BANGALORE,Wholesale,2021-12-19,30
31,Customer_31,PUNE,Wholesale,2021-07-12,31
32,Customer_32,BANGALORE,Retail,2021-03-05,32
33,Customer_33,BANGALORE,Online,2020-08-13,33
34,Customer_34,MUMBAI,Online,2021-04-04,34
35,Customer_35,PUNE,Online,2021-08-26,35
36,Customer_36,CHENNAI,Retail,2020-10-11,36
37,Customer_37,PUNE,Retail,2022-04-08,37
38,Customer_38,CHENNAI,Wholesale,2022-06-09,38
39,Customer_39,MUMBAI,Retail,2020-01-07,39
40,Customer_40,DELHI,Online,2022-02-16,40
41,Customer_41,BANGALORE,Online,2022-04-05,41
42,Customer_42,MUMBAI,Retail,2020-06-12,42
43,Customer_43,BANGALORE,Online,2021-12-15,43
44,Customer_44,DELHI,Online,2021-03-08,44
45,Customer_45,DELHI,Retail,2020-12-14,45
46,Customer_46,MUMBAI,Retail,2020-10-11,46
47,Customer_47,DELHI,Online,2020-06-08,47
48,Customer_48,CHENNAI,Online,2020-08-08,48
49,Customer_49,DELHI,Online,2022-09-07,49
50,Customer_50,BANGALORE,Wholesale,2022-02-20,50
51,Customer_51,BANGALORE,Wholesale,2020-12-10,51
52,Customer_52,BANGALORE,Wholesale,2020-04-14,52
53,Customer_53,BANGALORE,Retail,2020-04-04,53
54,Customer_54,CHENNAI,Wholesale,2021-01-24,54
55,Customer_55,PUNE,Retail,2020-04-09,55
56,Customer_56,MUMBAI,Retail,2021-01-02,56
57,Customer_57,BANGALORE,Wholesale,2022-05-17,57
58,Customer_58,DELHI,Wholesale,2020-12-18,58
59,Customer_59,BANGALORE,Wholesale,2021-09-10,59
60,Customer_60,DELHI,Online,2020-09-27,60
61,Customer_61,DELHI,Wholesale,2022-04-06,61
62,Customer_62,BANGALORE,Online,2020-02-14,62
63,Customer_63,CHENNAI,Retail,2022-01-17,63
64,Customer_64,DELHI,Online,2021-04-15,64
65,Customer_65,DELHI,Wholesale,2021-07-03,65
66,Customer_66,BANGALORE,Retail,2020-05-07,66
67,Customer_67,DELHI,Retail,2022-09-23,67
68,Customer_68,DELHI,Retail,2022-08-02,68
69,Customer_69,BANGALORE,Online,2021-01-22,69
70,Customer_70,BANGALORE,Wholesale,2020-03-21,70
71,Customer_71,MUMBAI,Retail,2021-07-19,71
72,Customer_72,CHENNAI,Retail,2020-10-27,72
73,Customer_73,CHENNAI,Retail,2022-04-29,73
74,Customer_74,DELHI,Online,2021-10-05,74
75,Customer_75,CHENNAI,Online,2021-09-25,75
76,Customer_76,DELHI,Wholesale,2022-06-25,76
77,Customer_77,MUMBAI,Online,2022-06-01,77
78,Customer_78,BANGALORE,Retail,2021-01-05,78
79,Customer_79,BANGALORE,Wholesale,2021-08-14,79
80,Customer_80,BANGALORE,Retail,2020-07-15,80
81,Customer_81,CHENNAI,Retail,2021-12-22,81
82,Customer_82,MUMBAI,Online,2020-03-12,82
83,Customer_83,CHENNAI,Wholesale,2020-02-16,83
84,Customer_84,CHENNAI,Online,2021-11-08,84
85,Customer_85,MUMBAI,Online,2020-08-21,85
86,Customer_86,MUMBAI,Wholesale,2022-03-02,86
87,Customer_87,MUMBAI,Retail,2020-10-23,87
88,Customer_88,MUMBAI,Retail,2020-03-22,88
89,Customer_89,BANGALORE,Wholesale,2022-05-25,89
90,Customer_90,PUNE,Retail,2020-08-26,90
91,Customer_91,PUNE,Wholesale,2022-06-06,91
92,Customer_92,MUMBAI,Wholesale,2020-04-13,92
93,Customer_93,PUNE,Online,2021-01-24,93
94,Customer_94,PUNE,Wholesale,2020-10-11,94
95,Customer_95,MUMBAI,Online,2021-04-09,95
96,Customer_96,PUNE,Retail,2021-10-12,96
97,Customer_97,CHENNAI,Retail,2022-05-04,97
98,Customer_98,DELHI,Retail,2021-01-08,98
99,Customer_99,DELHI,Retail,2020-06-15,99
100,Customer_100,MUMBAI,Online,2021-01-14,100
